Date,Strict_observable_pct,Inclusive_observable_pct,Cloudy_pct,QF_DNB_good_pct,Sensor_zenith_abs_median,Moon_illumination_pct,Radiance_strict_median
2013-11-07,0.0,0.0,100.0,100.0,0.6375000000000001,0.2246999931335449,
2013-08-24,0.0,0.0,100.0,100.0,0.6461000061035156,0.8323000335693359,
2013-08-07,0.0,0.0,100.0,100.0,0.4841999816894531,0.009200000166893,
2013-08-03,0.0,0.0,100.0,100.0,0.6372999954223633,0.0877000045776367,
2013-08-23,0.0,0.0,100.0,100.0,0.4827000045776367,0.904800033569336,
2013-07-19,0.0,0.0,100.0,100.0,0.4690000152587891,0.8622000122070312,
2013-06-16,0.0,0.0,100.0,100.0,0.6391999816894531,0.4975,
2013-06-17,0.0,0.0,100.0,100.0,0.4741999816894531,0.6004999923706055,
2013-06-19,0.0,0.0,100.0,100.0,0.1973999977111816,0.7993000030517579,
2013-08-22,0.0,0.0,100.0,100.0,0.1982999992370605,0.962699966430664,
2013-08-20,0.0,0.0,100.0,100.0,0.4734000015258789,0.9962999725341796,
2013-07-31,0.0,0.0,100.0,100.0,0.0546000003814697,0.3055999946594238,
2013-08-19,0.0,0.0,100.0,100.0,0.6386000061035156,0.9711000061035155,
2013-08-17,0.0,0.0,100.0,100.0,0.3107999992370605,0.8429000091552734,
2013-08-14,0.0,0.0,99.99609401701056,100.0,0.592599983215332,0.5263000106811524,
